from,to,type
stage-06-validation.yml,validate_stage06_owner_input.py,CALLS
stage-06-validation.yml,validate_stage06_evidence.py,CALLS
stage-06-validation.yml,validate_stage06_semantic.py,CALLS
stage-06-validation.yml,validate_stage06_tests.py,CALLS
stage-06-validation.yml,validate_stage06_traceability.py,CALLS
stage-06-validation.yml,stage06_safety_gate.py,CALLS
stage-06-validation.yml,test_semantic.py,CALLS
stage-06-validation.yml,test_safety_gate.py,CALLS
stage-06-validation.yml,test_readiness.py,CALLS
stage06_safety_gate.py,owner-input-checklist.md,READS
validate_stage06_owner_input.py,owner-input-checklist.md,READS
validate_stage06_evidence.py,evidence/stage-06/,READS
validate_stage06_semantic.py,evidence/stage-06/,READS
validate_stage06_tests.py,stage-06-test-plan.md,READS
validate_stage06_traceability.py,stage-06-traceability.md,READS
safety_guard.py,stage-04-validation.yml,CALLED_BY
stage-04-validation.yml,safety_guard.py,CALLS
stage-05-validation.yml,validate_stage05_*.py,CALLS
secret-scan.yml,gitleaks,USES
markdown-lint.yml,markdownlint-cli2,USES
