file,lines,functions,classes,exits
generate_lab_deployment_plan.py,33,1,0,0
render_lab_templates.py,76,2,0,0
run_lab_check_mode.py,28,1,0,0
run_stage05_simulation.py,23,2,0,0
safety_guard.py,45,2,0,"0,1"
stage06_safety_gate.py,33,1,0,"0,1"
validate_lab_preflight.py,24,2,0,0
validate_stage04.py,82,6,0,0
validate_stage05_evidence.py,88,2,0,0
validate_stage05_rollback_map.py,49,2,0,1
validate_stage05_test_ids.py,82,4,0,0
validate_stage05_traceability.py,52,2,0,1
validate_stage06_evidence.py,51,2,0,0
validate_stage06_owner_input.py,19,1,0,1
validate_stage06_semantic.py,368,15,0,0
validate_stage06_tests.py,16,1,0,0
validate_stage06_traceability.py,21,1,0,1
